,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
0,AR,1998,1217.76540404,0.0,7.0,2.0,1.13333333333,0.0,0.260742020966,0.406892433492,0.00906741874418
1,AR,2001,2245.11023469,0.0833333333333,0.0,12.25,2.97380952381,0.0150951078682,0.0,1.35179759382,0.0129052113154
2,AR,2004,1188.34779942,0.0,0.0,1.33333333333,1.73125,0.0,0.0,0.277976716307,0.0141940346828
3,AR,2007,1161.47552827,1.45,3.43088023088,7.0,6.27262566138,0.507706910716,0.133989915365,1.49314239356,0.0526173471976
4,AR,2010,1103.93227457,0.0,0.0,1.375,7.43293650794,0.0,0.0,0.308584080573,0.0656005732514
5,AT,1998,20693.3593018,22.503968254,37.8948412698,12.0,139.064941969,0.442265685342,0.083066461945,0.143669141809,0.0654751198912
6,AT,2001,24325.3789909,26.7167989418,60.4256275338,10.5333333333,272.913322985,0.446662963838,0.112677751815,0.107280172366,0.109308708747
7,AT,2004,26250.2779567,23.8681955165,68.0220141188,22.6,391.019361143,0.369777785158,0.117541762888,0.213298490904,0.145128931359
8,AT,2007,28060.2558432,9.4323962149,104.709126984,38.1867424242,742.787532781,0.13670536079,0.169265922081,0.337158595033,0.257906698058
9,AT,2010,26641.2059398,46.7128154253,167.838148148,113.106746032,791.436274175,0.713078431012,0.285767883671,1.05183563152,0.289435444316
10,AU,1998,13497.5243621,1.0,41.2876509455,7.74285714286,35.2843137255,0.0301301307641,0.138753093223,0.142121694391,0.0254693110189
11,AU,2001,19160.4375299,6.29212454212,84.6261350492,6.51666666667,108.245344802,0.133550963229,0.200343706331,0.0842623049922,0.0550419039496
12,AU,2004,23660.8180253,3.92711940837,121.405889185,28.1980880231,186.067673364,0.0674993340015,0.232748353762,0.295259008162,0.0766180004434
13,AU,2007,24672.299682,9.50833333333,48.0277296777,39.8071789322,181.882521368,0.156729195136,0.0882996628192,0.399728413097,0.0718242296116
14,AU,2010,20229.4704929,10.4542328042,67.1907473545,30.8317460317,243.257433169,0.210166159616,0.150661253231,0.377595538951,0.117157810425
15,BE,1998,18587.642903,1.5,20.9451923077,11.6666666667,161.855072945,0.0328187529863,0.0511136212974,0.155501906957,0.0848382374656
16,BE,2001,21164.6337635,18.7916666667,17.3895502646,28.3857142857,263.859741861,0.361085192349,0.0372695553757,0.33227855976,0.121465241343
17,BE,2004,20699.8948822,10.2956349206,26.4201273264,29.4079365079,390.865190802,0.202274031646,0.0578953102303,0.351973253049,0.18397063069
18,BE,2007,22746.4629712,3.12222222222,40.005010545,9.72301587302,534.416722539,0.0558219589005,0.0797768959123,0.105901075443,0.228905278178
19,BE,2010,17637.8932369,5.08333333333,50.0454605778,41.7026190476,519.099126749,0.11720793541,0.12870475737,0.585773703381,0.286743268144
20,BG,1998,1736.1338041,0.25,16.4936507937,3.2,4.74126984127,0.0585614675926,0.430933464877,0.456646396724,0.0266073193281
21,BG,2001,1525.39802697,3.0,8.04063492063,8.0,7.95952380952,0.79982175176,0.239102315883,1.29933176761,0.0508385959561
22,BG,2004,1504.65164996,1.5,0.760084033613,7.56666666667,19.7326190476,0.405424910842,0.0229140714671,1.24589627342,0.127772798787
23,BG,2007,1135.9985089,1.33333333333,5.84772727273,11.6357142857,14.7499669312,0.477327121865,0.233499506802,2.53763138735,0.126503612403
24,BG,2010,999.637604548,1.5,3.54672619048,9.97619047619,19.1826465201,0.610244410832,0.16093914731,2.47249486034,0.186962962469
25,BR,1998,17566.1361333,4.5,22.8833333333,10.0,9.23958333333,0.104181691933,0.0590907717296,0.141038280961,0.00512466858576
26,BR,2001,19870.5278957,7.02777777778,18.6666666667,23.5,11.5206349206,0.143834726496,0.0426122029138,0.293002757272,0.0056488058898
27,BR,2004,22063.6014042,8.16666666667,27.0595238095,33.8214285714,28.0380952381,0.150530173822,0.0556314482191,0.379777118186,0.0123811716759
28,BR,2007,24176.3081,9.25,48.4944444444,63.0119047619,27.6869808332,0.155599030842,0.0909868491832,0.645722435807,0.011157714905
29,BR,2010,24090.0222604,21.5333333333,49.1174603175,77.1904761905,49.9744306418,0.363520743952,0.0924858560665,0.793852412357,0.0202115814246
30,CA,1998,38603.6890337,15.4484126984,354.047395151,20.5333333333,183.856927533,0.162745950417,0.416015214664,0.131778299476,0.0464024414752
31,CA,2001,51011.3048431,24.216005291,610.22530905,37.0452380952,293.723133703,0.193059513144,0.542625754221,0.179919902776,0.0560998063679
32,CA,2004,58612.2541292,52.2945796796,919.528939391,103.811544828,442.328051597,0.362846876811,0.711628933119,0.438803901139,0.0735268059547
33,CA,2007,62951.8817197,35.2570827321,657.455094897,106.531096681,583.128648409,0.227768045426,0.473733392277,0.419257588117,0.0902496037914
34,CA,2010,56483.5658041,45.0511294261,415.568565684,153.205079349,627.216399849,0.324368530852,0.333731501683,0.671992317826,0.10818945708
35,CN,1998,141459.843705,55.375,447.796897547,87.6666666667,469.066222034,0.159197301486,0.143590109148,0.153537537141,0.0323065534001
36,CN,2001,230131.350049,269.05952381,1067.69007937,138.805555556,1617.78703677,0.475475036586,0.210448600196,0.14943224237,0.0684912682112
37,CN,2004,408898.997388,423.367694805,2460.88458786,316.647619048,6168.77121371,0.421072430194,0.272993194064,0.191855136593,0.146984743821
38,CN,2007,671700.659285,716.948941799,4544.28242988,1089.54261905,9592.24934624,0.434077814697,0.306878285987,0.401866401903,0.139134338299
39,CN,2010,363155.498841,383.852012987,2428.96212478,956.307595599,4464.79898969,0.429859307218,0.303392427924,0.652406426995,0.119784032286
40,CY,1998,140.783264366,0.0,0.0555555555556,0.0,0.5,0.0,0.0179000021456,0.0,0.0346025906653
41,CY,2001,347.668001443,0.0,0.766666666667,0.0,0.6,0.0,0.100027284616,0.0,0.0168141985429
42,CY,2004,382.555952381,0.75,0.0,0.0,7.59259259259,0.797299397952,0.0,0.0,0.193368075578
43,CY,2007,519.588095238,0.0,0.75,8.5,6.60257936508,0.0,0.0654754799499,4.05296621719,0.123806680719
44,CY,2010,376.437770563,0.0,0.7,9.04166666667,4.42222222222,0.0,0.0843492968404,5.95070675964,0.114455590924
45,CZ,1998,6104.80586913,4.83333333333,4.8375,13.0833333333,25.2742424242,0.321980837705,0.0359439448421,0.530957547144,0.0403362881405
46,CZ,2001,6350.06968032,1.0,4.17665834166,9.0,12.2686813187,0.0640437340841,0.0298350712214,0.351137545141,0.0188238752837
